C,NEMP.WORLD,TRADINGREGIONSUM,1,PUBLIC,PUBLIC,2024/01/15,00:00:01,0000000367195,,
I,TRADING,TRADINGREGIONSUM,1,SETTLEMENTDATE,REGIONID,TOTALDEMAND,SCHEDULEDGENERATION,NETINTERCHANGE,DEMAND_AND_NONSCHEDGEN
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 00:30:00,NSW1,8134.25,8223.47,-89.22,8201.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 01:00:00,NSW1,7891.12,7990.88,-99.76,7950.41
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 01:30:00,NSW1,7654.78,7745.30,-90.52,7712.65
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 02:00:00,NSW1,7423.56,7518.44,-94.88,7487.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 02:30:00,NSW1,7289.34,7381.20,-91.86,7345.67
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 03:00:00,NSW1,7198.45,7290.32,-91.87,7258.90
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 03:30:00,NSW1,7145.23,7237.88,-92.65,7208.45
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 04:00:00,NSW1,7098.67,7192.34,-93.67,7161.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 04:30:00,NSW1,7112.34,7204.56,-92.22,7175.45
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 05:00:00,NSW1,7234.56,7328.90,-94.34,7298.67
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 05:30:00,NSW1,7456.78,7548.23,-91.45,7512.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 06:00:00,NSW1,7789.23,7882.56,-93.33,7845.67
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 06:30:00,NSW1,8123.45,8218.90,-95.45,8186.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 07:00:00,NSW1,8567.89,8664.23,-96.34,8631.45
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 07:30:00,NSW1,9012.34,9108.67,-96.33,9078.90
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 08:00:00,NSW1,9456.78,9554.23,-97.45,9523.45
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 08:30:00,NSW1,9789.23,9887.56,-98.33,9856.78
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 09:00:00,NSW1,10123.45,10222.89,-99.44,10192.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 09:30:00,NSW1,10456.78,10556.23,-99.45,10526.78
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 10:00:00,NSW1,10678.90,10779.34,-100.44,10749.45
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 10:30:00,NSW1,10789.23,10890.56,-101.33,10861.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 11:00:00,NSW1,10934.56,11036.89,-102.33,11007.45
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 11:30:00,NSW1,11089.23,11192.56,-103.33,11163.45
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 12:00:00,NSW1,11234.56,11338.90,-104.34,11309.78
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 12:30:00,NSW1,11456.78,11561.23,-104.45,11532.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 13:00:00,NSW1,11567.89,11673.45,-105.56,11644.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 13:30:00,NSW1,11678.90,11785.45,-106.55,11756.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 14:00:00,NSW1,11789.23,11897.78,-108.55,11868.56
